CustomerID,Lookalikes
C0001,"[('C0137', 0.9998479842600186), ('C0152', 0.9996891691370593), ('C0107', 0.9772894185323556)]"
C0002,"[('C0043', 0.9889023750324937), ('C0083', 0.9828488843357509), ('C0032', 0.9822156275239912)]"
C0003,"[('C0133', 0.9908814070795056), ('C0052', 0.981742215954982), ('C0112', 0.9458923133274114)]"
C0004,"[('C0108', 0.9817885011860661), ('C0113', 0.9816132837328828), ('C0102', 0.9727442400368576)]"
C0005,"[('C0159', 0.9990080383211856), ('C0123', 0.9936623773496756), ('C0130', 0.979340513039755)]"
C0006,"[('C0168', 0.9752341558775259), ('C0158', 0.9719717584260801), ('C0171', 0.9467511125887024)]"
C0007,"[('C0140', 0.9928412444221226), ('C0080', 0.9782121513296386), ('C0078', 0.9766015954462418)]"
C0008,"[('C0139', 0.980093592840842), ('C0109', 0.9686788412732074), ('C0194', 0.9674498184003121)]"
C0009,"[('C0121', 0.9819733893441038), ('C0029', 0.9775914941093249), ('C0060', 0.9769990767927663)]"
C0010,"[('C0199', 0.9923779406266399), ('C0009', 0.9756951390855296), ('C0121', 0.9715160888724742)]"
C0011,"[('C0107', 0.9966904544159816), ('C0048', 0.9960405941169417), ('C0152', 0.9637777527380323)]"
C0012,"[('C0155', 0.9984756130629544), ('C0108', 0.9872685915329348), ('C0102', 0.9813356021519912)]"
C0013,"[('C0087', 0.9898935300406827), ('C0188', 0.9867762300638621), ('C0099', 0.9859572000456098)]"
C0014,"[('C0198', 0.9865575742773511), ('C0060', 0.9760776368242234), ('C0009', 0.9631272653715847)]"
C0015,"[('C0036', 0.9924707467637359), ('C0144', 0.9876028044766871), ('C0131', 0.9865764483744938)]"
C0016,"[('C0183', 0.9996158728379422), ('C0170', 0.9950257669933766), ('C0149', 0.9934433318287849)]"
C0017,"[('C0124', 0.9791750973465512), ('C0067', 0.9773470501238964), ('C0075', 0.9699896650444529)]"
C0018,"[('C0114', 0.9844001242678435), ('C0196', 0.9552180978907598), ('C0182', 0.9314210606734151)]"
C0019,"[('C0172', 0.9999885633976848), ('C0111', 0.9724045642902593), ('C0055', 0.9711832322938114)]"
C0020,"[('C0042', 0.9770024822217872), ('C0176', 0.9754336806822148), ('C0110', 0.9407780457729105)]"
